company_name,url,year_founded,full_time_employees,company_category,data_types,description
"3 Round Stones, Inc.",http://3RoundStones.com,2010,1-10,Data/Technology,,"3 Round Stones produces a platform for publishing data on the Web. 3 Round Stones provides commercial support for the Callimachus Data Platform, used by the Fortune 2000 and US Government Agencies publishing and consuming data.  Headquartered in Arlington, Virginia, we're seasoned entrepreneurs who are passionate about solving real world problems through open data and open Web standards."
48 Factoring Inc.,https://www.48factoring.com,2014,51-200,Finance & Investment,Business,The company mission is to provide finance to small business. We also provide financing to small business with bad credit too on the basis of future credit.
5PSolutions,www.5psolutions.com,2007,1-10,Data/Technology,,"At 5PSolutions, we wish to make all basic information of different categories easily available to via tablets or phones."
Abt Associates,abtassoc.com,1965,"1,001-5,000",Research & Consulting,,"Abt Associates is a mission-driven, international company conducting research and program implementation in the fields of health, social and environmental policy, and international development. The company has multiple offices in the U.S. and program offices in more than 40 countries."
Accela,http://www.accela.com,1999,"501-1,000",Governance,"Health/Healthcare, Housing, Public Safety","Accela powers thousands of services and millions of transactions for more than 500 public agencies worldwide, enabling governments to connect with citizens and streamline processes related to land management, asset management, licensing, and public health & safety. Accela addresses a broad range of agency, business and citizen needs, and includes built-in payment, scheduling, compliance and information transparency. Together with our partners, Accela can custom-tailor solutions based on precise agency specifications, or deploy packaged solutions based on best practice templates and pre-defined services in a matter of a few weeks."
Accenture,http://www.accenture.com/us-en/pages/index.aspx,1989,"10,001+",,Health/Healthcare,"Accenture delivers its services and solutions through 19 focused industry groups in five operating groups. This industry focus provides Accenture’s professionals with a thorough understanding of industry evolution, business issues and applicable technologies, enabling Accenture to deliver solutions tailored to each client's industry."
AccuWeather,http://www.accuweather.com,1962,201-500,Environment & Weather,Economics,"AccuWeather provides local forecasts for everywhere in the United States and over two million locations worldwide. AccuWeather also provides our products and services to more than 175,000 paying customers in media, business, government and institutions. Our headquarters in State College, PA, is home to the greatest number of forecast meteorologists in one location anywhere in the world."
Acxiom,http://acxiom.com,1969,"5,001-10,000",Data/Technology,,"Acxiom is an enterprise data, analytics and software as a service company. For more than 40 years, Acxiom has harnessed the powerful potential of data to strengthen connections between people, businesses and their partners."
Adaptive,http://www.adaptive.com,2001,11-50,Business & Legal Services,,"Adaptive offers standards-based solutions that help organizations better align their valuable information by supporting specific management challenges including Data Governance, Data Quality, Metadata Management, Enterprise Architecture Management and IT Portfolio Management."
Adobe Digital Government,http://www.adobe.com/solutions/government.html,2009,"10,001+",Data/Technology,,"Adobe Digital Government is part of Adobe Systems, a global digital marketing and digital media solutions company. Adobe's tools and services allow customers to create digital content, deploy it across media and devices, measure and optimize it over time. 

<p>Adobe Digital Government delivers solutions that help government agencies make, manage, mobilize, and measure the information and experiences needed to achieve their missions. Adobe Digital Government provides solutions for content creation and management, more secure business workflows, easy-to-develop forms, robust analytics, or intuitive collaboration and eLearning.</p>"
